Iteration,Best Cost
1,238.0
2,238.0
3,238.0
4,238.0
5,238.0
6,238.0
7,238.0
8,238.0
9,238.0
10,238.0
11,238.0
12,238.0
13,238.0
14,238.0
15,238.0
16,238.0
17,238.0
18,238.0
19,238.0
20,238.0
21,238.0
22,238.0
23,238.0
24,238.0
25,238.0
26,238.0
27,238.0
28,238.0
29,238.0
30,238.0
31,238.0
32,238.0
33,238.0
34,238.0
35,238.0
36,238.0
37,238.0
38,238.0
39,238.0
40,238.0
41,238.0
42,238.0
43,238.0
44,238.0
45,238.0
46,238.0
47,238.0
48,238.0
49,238.0
50,238.0
51,238.0
52,238.0
53,238.0
54,238.0
55,238.0
56,238.0
57,238.0
58,238.0
59,238.0
60,238.0
61,238.0
62,238.0
63,238.0
64,238.0
65,238.0
66,238.0
67,238.0
68,238.0
69,238.0
70,238.0
71,238.0
72,238.0
73,238.0
74,238.0
75,238.0
76,238.0
77,238.0
78,238.0
79,238.0
80,238.0
81,238.0
82,238.0
83,238.0
84,238.0
85,238.0
86,238.0
87,238.0
88,238.0
89,238.0
90,238.0
91,238.0
92,238.0
93,238.0
94,238.0
95,238.0
96,238.0
97,238.0
98,238.0
99,238.0
100,238.0
